Player,Squad
Joshua Acheampong,Chelsea
Tosin Adarabioyo,Chelsea
Emmanuel Agbadou,Wolves
Ola Aina,Nottingham
Rayan Aït-Nouri,Manchester City
Kristoffer Ajer,Brentford
Nathan Aké,Manchester City
Omar Alderete,Sunderland
Joachim Andersen,Fulham
Benoît Badiashile,Chelsea
Daniel Ballard,Sunderland
Calvin Bassey,Fulham
Jaka Bijol,Leeds United
Olivier Boscagli,Brighton
Sven Botman,Newcastle
Conor Bradley,Liverpool
Jarrad Branthwaite,Everton
Santiago Bueno,Wolves
Dan Burn,Newcastle
Riccardo Calafiori,Arsenal
Jaydee Canvot,Crystal Palace
Matty Cash,Aston Villa
Trevoh Chalobah,Chelsea
Nathan Collins,Brentford
Marc Cucurella,Chelsea
Jorge Cuenca,Fulham
Jair Cunha,Nottingham
Kevin Danso,Tottenham
Sepp van den Berg,Brentford
Bafodé Diakité,Bournemouth
Rúben Dias,Manchester City
Lucas Digne,Aston Villa
Issa Diop,Fulham
Axel Disasi,West Ham
Radu Drăgușin,Tottenham
Lewis Dunk,Brighton
Hjalmar Ekdal,Burnley
Maxime Estève,Burnley
Wesley Fofana,Chelsea
Toti Gomes,Wolves
Joe Gomez,Liverpool
Marc Guéhi,Crystal Palace
Marc Guéhi,Manchester City
Joško Gvardiol,Manchester City
Lewis Hall,Newcastle
Quilindschy Hartman,Burnley
Jorrel Hato,Chelsea
Ayden Heaven,Manchester Utd
Jan Paul van Hecke,Brighton
Rico Henry,Brentford
James Hill,Bournemouth
Piero Hincapié,Arsenal
Michael Kayode,Brentford
Michael Keane,Everton
Milos Kerkez,Liverpool
Abdukodir Khusanov,Manchester City
Max Kilman,West Ham
Ibrahima Konaté,Liverpool
Ezri Konsa,Aston Villa
Maxence Lacroix,Crystal Palace
Matthijs de Ligt,Manchester Utd
Tino Livramento,Newcastle
Ian Maatsen,Aston Villa
Gabriel Magalhães,Arsenal
Harry Maguire,Manchester Utd
Reinildo Mandava,Sunderland
Lisandro Martínez,Manchester Utd
Konstantinos Mavropanos,West Ham
Nikola Milenković,Nottingham
Tyrone Mings,Aston Villa
Morato,Nottingham
Cristhian Mosquera,Arsenal
Yerson Mosquera,Wolves
Nordi Mukiele,Sunderland
Murillo,Nottingham
Vitaliy Mykolenko,Everton
Matheus Nunes,Manchester City
Jake O'Brien,Everton
Luke O'Nien,Sunderland
Pedro Porro,Tottenham
Chadi Riad,Crystal Palace
Chris Richards,Crystal Palace
Andy Robertson,Liverpool
Joe Rodon,Leeds United
Cristian Romero,Tottenham
William Saliba,Arsenal
Nicolò Savona,Nottingham
Fabian Schär,Newcastle
Marcos Senesi,Bournemouth
Luke Shaw,Manchester Utd
Adam Smith,Bournemouth
Pascal Struijk,Leeds United
James Tarkowski,Everton
Kenny Tete,Fulham
Malick Thiaw,Newcastle
Jurriën Timber,Arsenal
Jean-Clair Todibo,West Ham
Pau Torres,Aston Villa
Kieran Trippier,Newcastle
Adrien Truffert,Bournemouth
Axel Tuanzebe,Burnley
Virgil van Dijk,Liverpool
Joël Veltman,Brighton
Micky van de Ven,Tottenham
Kyle Walker-Peters,West Ham
Ben White,Arsenal
Mats Wieffer,Brighton
Neco Williams,Nottingham
Joe Worrall,Burnley
Leny Yoro,Manchester Utd
